On February 11 , FireEye identified a zero-day exploit ( CVE-2014-0322 ) being served up from the U.S. Veterans of Foreign Wars ' website ( vfw [ . ] org ) .
0	4	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O

The attacker uses the vulnerability to do the following : The attacker uses the Microsoft.XMLDOM ActiveX control to load a one-line XML string containing a file path to the EMET DLL .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O

Then the exploit code parses the error resulting from the XML load order to determine whether the load failed because the EMET DLL is not present .

The exploit proceeds only if this check determines that the EMET DLL is not present .

Because the vulnerability allows attackers to modify memory to an arbitrary address , the attacker can use it to bypass ASLR .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
0	5	TOKEN0,Entity	O
0	6	TOKEN0,Action	O
0	7	TOKEN0,Entity	O
0	8	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
1	6	Entity,Action	O
1	7	Entity,Entity	O
1	8	Entity,Modifier	O
1	9	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
2	6	Action,Action	O
2	7	Action,Entity	O
2	8	Action,Modifier	O
2	9	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
3	6	Entity,Action	O
3	7	Entity,Entity	O
3	8	Entity,Modifier	O
3	9	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
4	6	Modifier,Action	O
4	7	Modifier,Entity	O
4	8	Modifier,Modifier	O
4	9	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	6	Entity,Action	SubjAction
5	6	Entity,Action	O
5	7	Entity,Entity	O
5	8	Entity,Modifier	O
5	9	Entity,Entity	O
6	1	Action,Entity	O
6	2	Action,Action	O
6	3	Action,Entity	O
6	4	Action,Modifier	O
6	5	Action,Entity	ActionObj
6	7	Action,Entity	ActionObj
6	8	Action,Modifier	O
6	9	Action,Entity	O
7	1	Entity,Entity	O
7	2	Entity,Action	O
7	3	Entity,Entity	O
7	4	Entity,Modifier	O
7	5	Entity,Entity	O
7	6	Entity,Action	O
7	8	Entity,Modifier	O
7	9	Entity,Entity	O
8	1	Modifier,Entity	O
8	2	Modifier,Action	O
8	3	Modifier,Entity	O
8	4	Modifier,Modifier	O
8	5	Modifier,Entity	O
8	6	Modifier,Action	O
8	9	Modifier,Entity	ModObj
8	9	Modifier,Entity	O
9	1	Entity,Entity	O
9	2	Entity,Action	O
9	3	Entity,Entity	O
9	4	Entity,Modifier	O
9	5	Entity,Entity	O
9	6	Entity,Action	O
9	7	Entity,Entity	O
9	8	Entity,Modifier	O

For example , the attacker corrupts a Flash Vector object and then accesses the corrupted object from within Flash to access memory .

We have discussed this technique and other ASLR bypass approaches in our blog .

One minor difference between the previous approaches and this attack is the heap spray address , which was changed to 0x1a1b2000 in this exploit .

Once the attacker 's code has full memory access through the corrupted Flash Vector object , the code searches through loaded libraries gadgets by machine code .
0	1	TOKEN0,Modifier	O
0	2	TOKEN0,Entity	O
0	3	TOKEN0,Action	O
0	4	TOKEN0,Modifier	O
0	5	TOKEN0,Entity	O
0	6	TOKEN0,Modifier	O
1	2	Modifier,Entity	ModObj
1	2	Modifier,Entity	O
1	3	Modifier,Action	O
1	4	Modifier,Modifier	O
1	5	Modifier,Entity	O
1	6	Modifier,Modifier	O
1	7	Modifier,Entity	O
2	3	Entity,Action	SubjAction
2	3	Entity,Action	O
2	4	Entity,Modifier	O
2	5	Entity,Entity	O
2	6	Entity,Modifier	O
2	7	Entity,Entity	O
3	1	Action,Modifier	O
3	2	Action,Entity	ActionObj
3	4	Action,Modifier	ActionMod
3	5	Action,Entity	O
3	6	Action,Modifier	O
3	7	Action,Entity	O
4	1	Modifier,Modifier	O
4	2	Modifier,Entity	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
4	6	Modifier,Modifier	O
4	7	Modifier,Entity	O
5	1	Entity,Modifier	O
5	2	Entity,Entity	O
5	3	Entity,Action	O
5	4	Entity,Modifier	O
5	6	Entity,Modifier	O
5	7	Entity,Entity	O
6	1	Modifier,Modifier	O
6	2	Modifier,Entity	O
6	3	Modifier,Action	O
6	4	Modifier,Modifier	O
6	7	Modifier,Entity	ModObj
6	7	Modifier,Entity	O
7	1	Entity,Modifier	O
7	2	Entity,Entity	O
7	3	Entity,Action	O
7	4	Entity,Modifier	O
7	5	Entity,Entity	O
7	6	Entity,Modifier	O

The attacker then overwrites the vftable pointer of a flash.Media.Sound ( ) object in memory to point to the pivot and begin ROP .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
0	5	TOKEN0,Entity	O
0	6	TOKEN0,Modifier	O
0	7	TOKEN0,Entity	O
0	8	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
1	6	Entity,Modifier	O
1	7	Entity,Entity	O
1	8	Entity,Action	O
1	9	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
2	6	Action,Modifier	O
2	7	Action,Entity	O
2	8	Action,Action	O
2	9	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
3	6	Entity,Modifier	O
3	7	Entity,Entity	O
3	8	Entity,Action	O
3	9	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
4	6	Modifier,Modifier	O
4	7	Modifier,Entity	O
4	8	Modifier,Action	O
4	9	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O
5	6	Entity,Modifier	O
5	7	Entity,Entity	O
5	8	Entity,Action	O
5	9	Entity,Entity	O
6	1	Modifier,Entity	O
6	2	Modifier,Action	O
6	3	Modifier,Entity	O
6	4	Modifier,Modifier	O
6	7	Modifier,Entity	ModObj
6	7	Modifier,Entity	O
6	8	Modifier,Action	O
6	9	Modifier,Entity	O
7	1	Entity,Entity	O
7	2	Entity,Action	O
7	3	Entity,Entity	O
7	4	Entity,Modifier	O
7	5	Entity,Entity	O
7	8	Entity,Action	SubjAction
7	8	Entity,Action	O
7	9	Entity,Entity	O
8	1	Action,Entity	O
8	2	Action,Action	O
8	3	Action,Entity	O
8	4	Action,Modifier	O
8	5	Action,Entity	O
8	6	Action,Modifier	O
8	7	Action,Entity	ActionObj
8	9	Action,Entity	O
9	1	Entity,Entity	O
9	2	Entity,Action	O
9	3	Entity,Entity	O
9	4	Entity,Modifier	O
9	5	Entity,Entity	O
9	6	Entity,Modifier	O
9	7	Entity,Entity	O
9	8	Entity,Action	O

After successful exploitation , the code repairs the corrupted Flash Vector and flash.Media.Sound to continue execution .

Subsequently , the malicious Flash code downloads a file containing the dropped malware payload .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

The beginning of the file is a JPG image ; the end of the file ( offset 36321 ) is the payload , encoded with an XOR key of 0×95 .

The attacker appends the payload to the shellcode before pivoting to code control .

Then , when the shellcode is executed , the malware creates files '' sqlrenew.txt '' and '' stream.exe '' .
0	1	TOKEN0,Modifier	O
0	2	TOKEN0,Entity	O
0	3	TOKEN0,Action	O
1	2	Modifier,Entity	ModObj
1	2	Modifier,Entity	O
1	3	Modifier,Action	O
1	4	Modifier,Entity	O
2	3	Entity,Action	SubjAction
2	3	Entity,Action	O
2	4	Entity,Entity	O
3	1	Action,Modifier	O
3	2	Action,Entity	ActionObj
3	4	Action,Entity	O
4	1	Entity,Modifier	O
4	2	Entity,Entity	O
4	3	Entity,Action	O

The tail of the image file is decoded , and written to these files .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

'' sqlrenew.txt '' is then executed with the LoadLibraryA Windows API call .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

As documented above , this exploit dropped an XOR ( 0×95 ) payload that executed a ZxShell backdoor ( MD5 : 8455bbb9a210ce603a1b646b0d951bce ) .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Action	O
1	5	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Action	O
2	5	Action,Entity	O
3	1	Entity,Entity	O
3	4	Entity,Action	SubjAction
3	4	Entity,Action	O
3	5	Entity,Entity	O
4	1	Action,Entity	O
4	2	Action,Action	O
4	3	Action,Entity	ActionObj
4	5	Action,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Action	O

The compile date of the payload was 2014-02-11 , and the last modified date of the exploit code was also 2014-02-11 .

This suggests that this instantiation of the exploit was very recent and was deployed for this specific strategic Web compromise of the Veterans of Foreign Wars website .

A possible objective in the SnowMan attack is targeting military service members to steal military intelligence .

In addition to retirees , active military personnel use the VFW website .

It is probably no coincidence that Monday , Feb. 17 , is a U.S. holiday , and much of the U.S. Capitol shut down Thursday amid a severe winter storm .

The ZxShell backdoor is a widely used and publicly available tool used by multiple threat actors linked to cyber espionage operations .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

This particular variant called back to a command and control server located at newss [ . ] effers [ . ] com .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

This domain currently resolves to 118.99.60.142 .

The domain info [ .

] flnet [ .

] org also resolved to this IP address on 2014-02-12 .

The info [ .

] flnet [ .

] org domain overlaps with icybin [ .

] flnet [ .

] org and book [ .

] flnet [ .

] org via the previous resolutions to the following IP addresses : We previously observed Gh0stRat samples with the custom packet flag '' HTTPS '' calling back to book [ . ] flnet [ . ] org and icybin [ . ] flnet [ . ] org .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

The threat actor responsible for Operation DeputyDog also used the '' HTTPS '' version of the Gh0st .

We also observed another '' HTTPS '' Gh0st variant connecting to a related command and control server at me [ . ] scieron [ . ] com .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

The me [ .

] scieron [ .

] com domain previously resolved to 58.64.199.22 .

The book [ .

] flnet [ .

] org domain also resolved to another IP in the same subnet 58.64.199.0/24 .

Specifically , book [ .

] flnet [ .

] org previously resolved to 58.64.199.27 .

Others domain seen resolving to this same /24 subnet were dll [ .

] freshdns [ .

] org , ali [ .

] blankchair [ .

] com , and cht [ .

] blankchair [ .

] com .

The domain dll [ .

] freshdns [ .

] org resolved to 58.64.199.25 .

Both ali [ .

] blankchair [ .

] com and cht [ .

] blankchair [ .

] com resolved to 58.64.199.22 .

A number of other related domains resolve to these IPs and other IPs also in this /24 subnet .

For the purposes of this blog , we 've chosen to focus on those domains and IP that relate to the previously discussed DeputyDog and Ephemeral Hydra campaigns .

You may recall that dll [ . ] freshdns [ . ] org , ali [ . ] blankchair [ . ] com and cht [ . ] blankchair [ . ] com were all linked to both Operation DeputyDog and Operation Ephemeral Hydra .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

Figure 1 illustrates the infrastructure overlaps and connections we observed between the strategic Web compromise campaign leveraging the VFW 's website , the DeputyDog , and the Ephemeral Hydra operations .

Other tradecraft similarities between the actor ( s ) responsible for this campaign and the actor ( s ) responsible for the DeputyDog/Ephemeral Hydra campaigns include : We observed many similarities from the exploitation side as well .

At a high level , this attack and the CVE- 2013-3163 attack both leveraged a Flash file that orchestrated the exploit , and would call back into IE JavaScript to trigger an IE flaw .

The code within the Flash files from each attack are extremely similar .

They build ROP chains and shellcode the same way , both choose to corrupt a Flash Vector object , have some identical functions with common typos , and even share the same name .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

These actors have previously targeted a number of different industries , including : The proven ability to successfully deploy a number of different private and public RATs using zero-day exploits against high-profile targets likely indicates that this actor ( s ) will continue to operate in the mid to long-term .
0	1	TOKEN0,Action	O
0	2	TOKEN0,Entity	O
0	3	TOKEN0,Modifier	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Modifier	O
0	6	TOKEN0,Entity	O
0	7	TOKEN0,Entity	O
1	2	Action,Entity	ActionObj
1	3	Action,Modifier	O
1	4	Action,Entity	O
1	5	Action,Modifier	O
1	6	Action,Entity	O
1	7	Action,Entity	O
2	1	Entity,Action	O
2	3	Entity,Modifier	O
2	4	Entity,Entity	O
2	5	Entity,Modifier	O
2	6	Entity,Entity	O
2	7	Entity,Entity	O
3	1	Modifier,Action	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
3	5	Modifier,Modifier	O
3	6	Modifier,Entity	O
3	7	Modifier,Entity	O
4	1	Entity,Action	O
4	2	Entity,Entity	O
4	3	Entity,Modifier	O
4	5	Entity,Modifier	O
4	6	Entity,Entity	O
4	7	Entity,Entity	O
5	1	Modifier,Action	O
5	2	Modifier,Entity	O
5	3	Modifier,Modifier	O
5	6	Modifier,Entity	ModObj
5	6	Modifier,Entity	O
5	7	Modifier,Entity	O
6	1	Entity,Action	O
6	2	Entity,Entity	O
6	3	Entity,Modifier	O
6	4	Entity,Entity	O
6	5	Entity,Modifier	O
6	7	Entity,Entity	O
7	1	Entity,Action	O
7	2	Entity,Entity	O
7	3	Entity,Modifier	O
7	4	Entity,Entity	O
7	5	Entity,Modifier	O
7	6	Entity,Entity	O

This entry was posted in Advanced Malware , Exploits , Targeted Attack , Threat Research , Vulnerabilities and tagged 0day , zero-day by Darien Kindlund , Dan Caselden , Xiaobo Chen , Ned Moran and Mike Scott .

Bookmark the permalink .



Context Information Security distribute Context Threat Intelligence ( CTI ) reporting under the Traffic Light Protocol ( TLP ) , a method of classifying a document in order to promote the distribution of sensitive information between individuals , organisations or communities in a controlled and trusted way , based on the originator 's wishes .

The various levels of the TLP are represented by the following colours : Sources may use TLP : RED when information can not be effectively acted upon by additional parties , and could lead to impacts on a party 's privacy , reputation , or operations if misused .

Recipients may not share TLP : RED information with any parties outside of the specific exchange , meeting , or conversation in which it is originally disclosed .

TLP : RED information will be passed verbally or in person .

Sources may use TLP : AMBER when information requires support to be effectively acted upon , but carries risks to privacy , reputation , or operations if shared outside of the organisations involved .

Recipients may only share TLP : AMBER information with members of their own organisation who need to know , and only as widely as necessary to act on that information .

Sources may use TLP : GREEN when information is useful for the awareness of all participating organisations as well as with peers within the broader community or sector .

Recipients may share TLP : GREEN information with peers and partner organisations within their sector or community , but not via publicly accessible channels such as publication or posting publicly on the Internet .

Sources may use TLP : WHITE when information carries minimal or no foreseeable risk of misuse , in accordance with applicable rules and procedures for public release .

Subject to standard copyright rules , TLP : WHITE information may be distributed freely , without restriction .

On 2nd January 2014 a Systems Administrator at the Monju fast breeder reactor facility in Japan noticed suspicious connections emanating from a machine in the control room , coinciding with what was a seemingly routine software update to a free media player .

Among other items , staff training documents and more than 40,000 emails were stored on the machine and thought to be harvested by the attacker .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

The Japanese Atomic Energy Agency is investigating further .

The attack appears to have been the result of the attackers having compromised the 'GOM Player ' update server and having it act as a 'watering hole ' , meaning that machines which access the site are delivered malware .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Action	O
0	6	TOKEN0,Entity	O
0	7	TOKEN0,Entity	O
0	8	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Entity	O
1	5	Entity,Action	O
1	6	Entity,Entity	O
1	7	Entity,Entity	O
1	8	Entity,Action	O
1	9	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Entity	O
2	5	Action,Action	O
2	6	Action,Entity	O
2	7	Action,Entity	O
2	8	Action,Action	O
2	9	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Entity	O
3	5	Entity,Action	O
3	6	Entity,Entity	O
3	7	Entity,Entity	O
3	8	Entity,Action	O
3	9	Entity,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	5	Entity,Action	SubjAction
4	5	Entity,Action	O
4	6	Entity,Entity	O
4	7	Entity,Entity	O
4	8	Entity,Action	O
4	9	Entity,Entity	O
5	1	Action,Entity	O
5	2	Action,Action	O
5	3	Action,Entity	O
5	4	Action,Entity	ActionObj
5	6	Action,Entity	ActionObj
5	7	Action,Entity	O
5	8	Action,Action	O
5	9	Action,Entity	O
6	1	Entity,Entity	O
6	2	Entity,Action	O
6	3	Entity,Entity	O
6	4	Entity,Entity	O
6	5	Entity,Action	O
6	7	Entity,Entity	O
6	8	Entity,Action	O
6	9	Entity,Entity	O
7	1	Entity,Entity	O
7	2	Entity,Action	O
7	3	Entity,Entity	O
7	4	Entity,Entity	O
7	5	Entity,Action	O
7	8	Entity,Action	SubjAction
7	8	Entity,Action	O
7	9	Entity,Entity	O
8	1	Action,Entity	O
8	2	Action,Action	O
8	3	Action,Entity	O
8	4	Action,Entity	O
8	5	Action,Action	O
8	6	Action,Entity	O
8	7	Action,Entity	ActionObj
8	9	Action,Entity	O
9	1	Entity,Entity	O
9	2	Entity,Action	O
9	3	Entity,Entity	O
9	4	Entity,Entity	O
9	5	Entity,Action	O
9	6	Entity,Entity	O
9	7	Entity,Entity	O
9	8	Entity,Action	O

Gom Player originates in South Korea and in some parts of Asia it is a popular alternative to Windows Media Player .

It is unclear whether every machine trying to download an update received this malware or whether only machines which fitted a certain profile were infected .

Technical analysis of the implant on the compromised machine has shown it to be a variant of a Trojan which has been in the wild for some years now and continues to be effective .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

The 'Gh0st RAT ' has been used extensively in attacks linked to the Chinese state , though it is important to remember that the code is publicly available and can be modified and used by anyone .

The targeting of a Japanese nuclear facility however , is consistent with Chinese state intelligence requirements .

If this is the work of a Chinese group then we feel the targeting may go much further than the Civil Nuclear sector and thus be of interest to the wider Energy Sector and industry as a whole .

In order to inform the Energy Sector and beyond about this attack , we have compiled a technical summary of the attack and have provided a number of Indicators Of Compromise ( IOCs ) which can be used to aid detection .

It is likely that the attackers would redeploy their implant against other targets , albeit with a delivery mechanism more tailored to the location of the intended victims .

Based on open source reporting , it appears that the intrusion took place via the compromise of the GOM Player update server ( app.gomlab.com ) , where attackers may have gained entry via a PHP-based webshell , hidden within an image , present on the host since October 2011 .
0	1	TOKEN0,Action	O
0	2	TOKEN0,Entity	O
